name,street,zip_code,city
charité - universitätsmedizin berlin,charitéplatz 1,10117,berlin
lmu klinikum,marchioninistraße 15,81377,münchen
universitätsklinikum heidelberg,im neuenheimer feld 672,69120,heidelberg
klinikum chemnitz ggmbh,flemmingstraße 2,09116,chemnitz
universitätsmedizin der johannes gutenberg-universität mainz,langenbeckstraße 1,55131,mainz
universitätsklinikum freiburg,hugstetter straße 55,79106,freiburg
universitätsklinikum tübingen,geissweg 3,72076,tübingen
universitätsmedizin göttingen,robert-koch-straße 40,37075,göttingen
städtisches klinikum karlsruhe,moltkestraße 90,76133,karlsruhe
universitätsklinikum augsburg - am standort medizincampus,stenglinstr. 2,86156,augsburg
medizinische hochschule hannover,carl-neuberg-straße 1,30625,hannover
universitätsklinikum köln,kerpener straße 62,50937,köln
evangelisches klinikum bethel ggmbh standort bethel,kantensiek 11,33617,bielefeld
evangelisches klinikum bethel ggmbh - standort johannesstift,schildescher straße 99,33611,bielefeld
uniklinik rwth aachen,pauwelsstr. 30,52074,aachen
städtisches klinikum braunschweig ggmbh,freisestraße 9/10,38118,braunschweig
universitätsklinikum münster,domagkstr. 5,48149,münster
universitätsklinikum des saarlandes,kirrberger straße 100,66421,homburg
universitätsklinikum würzburg,josef-schneider-straße 2,97080,würzburg
klinikum dortmund nord,münsterstraße 240,44145,dortmund
universitätsklinikum hamburg-eppendorf,martinistraße 52,20246,hamburg
universitätsklinikum jena,bachstraße 18,07743,jena
"universitätsklinikum carl gustav carus dresden an der technischen universität dresden, anstalt des öffentlichen rechts des freistaates sachsen",fetscherstraße 74,01307,dresden
universitätsklinikum erlangen,maximiliansplatz 2,91054,erlangen
klinikum stuttgart - katharinenhospital (kh) und olgahospital / frauenklinik (oh),"kriegsbergstraße 60,62",70174,stuttgart
universitätsklinikum leipzig anstalt öffentlichen rechts,liebigstraße 18,04103,leipzig
universitätsklinikum mannheim gmbh,theodor-kutzer-ufer 1-3,68167,mannheim
universitätsklinikum frankfurt,theodor-stern-kai 7,60590,frankfurt
universitätsklinikum bonn,venusberg-campus 1,53127,bonn
universitätsklinikum düsseldorf,moorenstraße 5,40225,düsseldorf
klinikum nürnberg nord,prof.-ernst-nathan-str. 1,90419,nürnberg
"universitätsklinikum gießen und marburg, standort gießen",rudolf-buchheim-straße 8,35392,gießen
universitätsklinikum ulm,albert-einstein-allee 29,89081,ulm
universitätsklinikum essen,hufelandstr. 55,45147,essen
helios klinikum erfurt,nordhäuser straße 74,99089,erfurt
vivantes klinikum neukölln,rudower straße 48,12351,berlin
klinikum kassel gmbh,mönchebergstraße 41-43,34125,kassel
klinikum rechts der isar der technischen universität münchen,ismaninger straße 22,81675,münchen
helios klinikum krefeld,lutherplatz 40,47805,krefeld
klinikum ernst von bergmann gemeinnützige gmbh,charlottenstr. 72,14467,potsdam
carl-thiem-klinikum cottbus ggmbh,thiemstrasse 111,03048,cottbus
"universitätsklinikum gießen und marburg gmbh, standort marburg",baldingerstraße 01,35043,marburg
helios klinikum berlin-buch,schwanebecker chaussee 50,13125,berlin
"universitätsklinikum schleswig-holstein, campus kiel",arnold-heller-straße 3,24105,kiel
universitätsklinikum magdeburg a. ö. r.,leipziger straße 44,39120,magdeburg
klinikum ingolstadt gmbh,krumenauerstr. 25,85049,ingolstadt
helios kliniken schwerin,wismarsche straße 393-397,19049,schwerin
klinikum st. georg ggmbh,delitzscher straße 141,04129,leipzig
universitätsmedizin rostock - teilkörperschaft der universität rostock,schillingallee 35,18057,rostock
"universitätsklinikum schleswig-holstein, campus lübeck",ratzeburger allee 160,23538,lübeck
klinikum ludwigsburg,posilipostraße 4,71640,ludwigsburg
klinikum der stadt ludwigshafen am rhein ggmbh,bremserstr. 79,67063,ludwigshafen
klinikum fulda gag,pacelliallee 4,36043,fulda
helios dr. horst-schmidt-kliniken wiesbaden,ludwig-erhard-strasse 100,65199,wiesbaden
universitätsklinikum halle (saale),ernst-grube-straße 40,06120,halle
klinikum dortmund mitte,beurhausstraße 40,44137,dortmund
vivantes klinikum im friedrichshain,landsberger allee 49,10249,berlin
slk-kliniken heilbronn gmbh - klinikum am gesundbrunnen,am gesundbrunnen 20-26,74078,heilbronn
srh wald-klinikum gera gmbh,straße des friedens 122,07548,gera
"münchen klinik bogenhausen, münchen klinik ggmbh",englschalkinger str. 77,81925,münchen
klinikum nürnberg süd,breslauer straße 201,90471,nürnberg
"klinikum lüdenscheid, märkische kliniken gmbh",paulmannshöher straße 14,58515,lüdenscheid
universitätsmedizin greifswald - körperschaft des öffentlichen rechts,fleischmannstraße 8,17475,greifswald
helios universitätsklinikum wuppertal gmbh,heusnerstr. 40,42283,wuppertal
städtisches klinikum dresden - standort friedrichstadt,friedrichstraße 41,01067,dresden
krankenhaus barmherzige brüder regensburg,prüfeninger str. 86,93049,regensburg
klinikum bamberg - betriebsstätte am bruderwald,buger straße 80,96049,bamberg
sana klinikum offenbach gmbh,starkenburgring 66,63069,offenbach
westpfalz-klinikum gmbh - standort i kaiserslautern,hellmut-hartert-straße  1,67655,kaiserslautern
asklepios klinikum harburg,eißendorfer pferdeweg 52,21075,hamburg
johannes wesling klinikum minden,hans-nolte-str. 1,32429,minden
schwarzwald-baar klinikum villingen-schwenningen gmbh,klinikstraße 11,78052,villingen-schwenningen
dietrich-bonhoeffer-klinikum standort neubrandenburg,salvador-allende-straße 30,17036,neubrandenburg
klinikum frankfurt höchst gmbh,gotenstraße  6-8,65929,frankfurt
klinikum darmstadt gmbh,grafenstraße 9,64283,darmstadt
universitätsklinikum regensburg,franz-josef-strauß-allee 11,93053,regensburg
klinikum oldenburg aör,rahel-straus-str. 10,26133,oldenburg
klinikum stuttgart - krankenhaus bad cannstatt,prießnitzweg 24,70374,stuttgart
"heinrich-braun-klinikum gemeinnützige gmbh, standort zwickau",karl-keil-straße 35,08060,zwickau
kbo-isar-amper-klinikum münchen-ost,vockestraße 72,85540,haar
lvr-klinik bonn,kaiser-karl-ring 20,53111,bonn
südharz klinikum nordhausen ggmbh,dr.-robert-koch-straße 39,99734,nordhausen
klinikum frankfurt (oder) gmbh,müllroser chaussee 7,15236,frankfurt
klinikum herford,schwarzenmoorstraße 70,32049,herford
psychiatrisches zentrum nordbaden,heidelberger straße 1a,69168,wiesloch
klinikum magdeburg gemeinnützige gmbh,birkenallee 34,39130,magdeburg
klinikum hanau gmbh,leimenstraße 20,63450,hanau
rhön-klinikum campus bad neustadt,von-guttenberg-str.  11,97616,bad
klinikum bremen-mitte,st.-jürgen-straße 1,28205,bremen
klinikum fürth,jakob-henle-straße 1,90766,fürth
klinikum osnabrück gmbh,am finkenhügel 1,49076,osnabrück
klinikum mutterhaus der borromäerinnen - standort mitte,feldstraße 16,54290,trier
marienhospital stuttgart,böheimstraße 37,70199,stuttgart
kliniken maria hilf gmbh,viersener straße 450,41063,mönchengladbach
schön klinik hamburg eilbek,dehnhaide 120,22081,hamburg
klinikum bremerhaven reinkenheide ggmbh,postbrookstraße 103,27574,bremerhaven
bg klinikum hamburg ggmbh,bergedorfer straße 10,21033,hamburg
helios park-klinikum leipzig,strümpellstraße 41,04289,leipzig
klinikum aschaffenburg-alzenau gemeinnützige gmbh,am hasenkopf 1,63739,aschaffenburg
asklepios klinik nord - ochsenzoll,langenhorner chaussee 560,22419,hamburg
kliniken der stadt köln ggmbh - krankenhaus merheim,ostmerheimer str. 200,51109,köln
evangelisches krankenhaus königin elisabeth herzberge ggmbh,herzbergstraße 79,10365,berlin
agaplesion diakonieklinikum rotenburg gemeinnützige gmbh,elise-averdieck-str. 17,27356,rotenburg
"münchen klinik harlaching, münchen klinik ggmbh",sanatoriumsplatz 2,81545,münchen
klinikum bayreuth,preuschwitzer straße 101,95445,bayreuth
städtisches klinikum dessau,auenweg 38,06847,dessau-roßlau
leopoldina-krankenhaus,gustav-adolf-str. 8,97422,schweinfurt
awo psychiatriezentrum,vor dem kaiserdom 10,38154,königslutter
pfalzklinikum,weinstraße 100,76889,klingenmünster
klinikum worms ggmbh,gabriel-von-seidl-str. 81,67550,worms
klinikum bremen-ost,züricher straße 40,28325,bremen
asklepios klinik nord - heidberg,tangstedter landstraße 400,22417,hamburg
asklepios klinik st. georg,lohmühlenstr. 5,20099,hamburg
krankenhaus der barmherzigen brüder trier,nordallee 1,54292,trier
robert-bosch-krankenhaus,auerbachstraße 110,70376,stuttgart
ruppiner kliniken,fehrbelliner straße 38,16816,neuruppin
rems-murr-klinikum winnenden,am jakobsweg 1,71364,winnenden
klinikum leverkusen ggmbh,am gesundheitspark 11,51375,leverkusen
vivantes klinikum spandau,neue bergstraße 6,13585,berlin
rhein-maas klinikum,mauerfeldchen 25,52146,würselen
klinikum esslingen gmbh,hirschlandstraße 97,73730,esslingen
klinikum wilhelmshaven ggmbh,friedrich-paffrath-straße 100,26389,wilhelmshaven
klinikum bielefeld gem. gmbh,teutoburger str. 50,33604,bielefeld
vivantes humboldt-klinikum,am nordgraben 2,13509,berlin
städtisches klinikum solingen gemeinnützige gmbh,gotenstraße 1,42653,solingen
klinikum wetzlar-braunfels,forsthausstraße 1,35578,wetzlar
helios vogtland-klinikum plauen,röntgenstraße 2,08529,plauen
"münchen klinik schwabing, münchen klinik ggmbh",kölner platz 1,80804,münchen
"kliniken nordoberpfalz ag - weiden, vohenstrauß, neustadt",söllnerstraße 16,92637,weiden
zentralklinik bad berka gmbh,robert-koch-allee 9,99437,bad
st. vincentius kliniken karlsruhe,steinhäuserstraße 18,76135,karlsruhe
st. josef-hospital,gudrunstraße 56,44791,bochum
helios st. johannes klinik,an der abtei 7-11,47166,duisburg
fek - friedrich-ebert-krankenhaus neumünster gmbh,friesenstraße 11,24534,neumünster
klinikum passau,innstraße 76,94032,passau
asklepios klinik barmbek,rübenkamp 220,22291,hamburg
lvr-klinikum düsseldorf - kliniken der heinrich-heine-universität düsseldorf,bergische landstraße 2,40629,düsseldorf
agaplesion markus krankenhaus,wilhelm-epstein-straße 4,60431,frankfurt
kliniken dritter orden ggmbh münchen-nymphenburg,menzinger str. 44,80638,münchen
klinikum lippe detmold,röntgenstraße 18,32756,detmold
westküstenklinikum heide,esmarchstraße 50,25746,heide
asklepios klinik altona,paul-ehrlich-straße 1,22763,hamburg
bezirksklinikum regensburg,universitätsstraße 84,93053,regensburg
klinik am eichert,eichertstraße 3,73035,göppingen
romed klinikum rosenheim,ellmaierstraße 23,83022,rosenheim
allgemeines krankenhaus celle,siemensplatz 4,29223,celle
sana klinikum lichtenberg,fanningerstraße 32,10365,berlin
st. franziskus-hospital gmbh münster,hohenzollernring 70,48145,münster
bg-unfallklinik - unfallkrankenhaus berlin ggmbh,warener straße 7,12683,berlin
klinikum am weissenhof,weissenhof _,74189,weinsberg
albertinen krankenhaus / albertinen haus gemeinnützige gmbh,süntelstraße 11a,22457,hamburg
evangelisches krankenhaus mülheim an der ruhr gmbh,wertgasse 30,45468,mülheim
klinikum itzehoe,robert-koch-str. 2,25524,itzehoe
krankenhaus st. elisabeth und st. barbara halle (saale) gmbh,mauerstraße 5,06110,halle
städtisches krankenhaus kiel gmbh,chemnitzstr. 33,24116,kiel
klinikum st. marien amberg,mariahilfbergweg 7,92224,amberg
katholisches klinikum mainz,an der goldgrube 11,55131,mainz
vivantes klinikum am urban,dieffenbachstraße  1,10967,berlin
bg klinikum murnau ggmbh,prof.-küntscher-straße 8,82418,murnau
katholisches klinikum lünen/werne gmbh klinikum lünen st.-marien-hospital,altstadtstraße 23,44534,lünen
marienhospital gelsenkirchen gmbh,virchowstr. 122,45886,gelsenkirchen
ökumenische hainich klinikum ggmbh,pfafferode 102,99974,mühlhausen
sophien- und hufeland-klinikum ggmbh,henry-van-de-velde-straße 2,99425,weimar
kath. marienkrankenhaus gemeinnützige gmbh,alfredstraße 9,22087,hamburg
helios klinikum bad saarow,pieskower straße 33,15526,bad
st. vincenz-krankenhaus,am busdorf 2,33098,paderborn
imland gmbh - imland klinik rendsburg,lilienstr. 20-28,24768,rendsburg
helios klinikum aue,gartenstraße  6,08280,aue
bg klinikum bergmannstrost halle,merseburger straße 165,06112,halle
theresienkrankenhaus mannheim,bassermannstraße 1,68165,mannheim
helios klinikum hildesheim gmbh,senator-braun-allee 33,31135,hildesheim
alexianer krefeld gmbh - krankenhaus maria-hilf,diessemer bruch 81,47805,krefeld
alfried krupp krankenhaus rüttenscheid,alfried-krupp-straße  21,45131,essen
klinikum saarbrücken,winterberg  1,66119,saarbrücken
vivantes auguste-viktoria-klinikum,rubensstraße 125,12157,berlin
klinikum schloß winnenden zentrum für psychiatrie,schloßstr. 50,71364,winnenden
st.-johannes-hospital dortmund,johannesstraße 9-13,44137,dortmund
klinikum bad hersfeld,seilerweg 29,36251,bad
kliniken landkreis heidenheim ggmbh,schloßhaustraße 100,89522,heidenheim
wedau kliniken,zu den rehwiesen 9-11,47055,duisburg
lwl-klinik dortmund psychiatrie - psychotherapie - psychosomatische medizin - rehabilitation - prävention,marsbruchstraße 179,44287,dortmund
krh klinikum siloah,stadionbrücke  4,30449,hannover
bezirksklinikum mainkofen,mainkofen a3,94469,deggendorf
elbe klinikum stade,bremervörder straße 111,21682,stade
florence-nightingale-krankenhaus,kreuzbergstraße 79,40489,düsseldorf
kreisklinikum siegen gmbh,weidenauer straße 76,57076,siegen
asklepios klinik wandsbek,alphonsstraße 14,22043,hamburg
städtisches klinikum görlitz ggmbh,girbigsdorfer straße 1-3,02828,görlitz
klinikum traunstein,cuno-niggl-str. 3,83278,traunstein
klinikum wolfsburg,sauerbruchstraße 7,38440,wolfsburg
städtische kliniken mönchengladbach gmbh,hubertusstraße 100,41239,mönchengladbach
klinikum am steinenberg,steinenbergstraße 31,72764,reutlingen
klinikum coburg gmbh,ketschendorfer straße 33,96450,coburg
"münchen klinik neuperlach, städtisches klinikum münchen gmbh",oskar-maria-graf-ring 51,81737,münchen
st. elisabethen-klinikum,elisabethenstraße 15,88212,ravensburg
lvr-klinik köln,wilhelm-griesinger str. 23,51109,köln
lvr-klinik düren,meckerstraße 15,52353,düren
rheinland klinikum neuss gmbh - lukaskrankenhaus,preußenstraße  84,41464,neuss
kreiskrankenhaus gummersbach,wilhelm-breckow-allee 20,51643,gummersbach
"marien hospital herne, klinikum der ruhr-universität bochum",hölkeskampring 40,44625,herne
st. vincenz-krankenhaus limburg,auf dem schafsberg -,65549,limburg
sana-klinikum remscheid gmbh,burger straße 211,42859,remscheid
"thüringen-kliniken ""georgius agricola"" gmbh",rainweg 68,07318,saalfeld
klinikum idar-oberstein gmbh,dr.-ottmar-kohler-straße 2,55743,idar-oberstein
niels-stensen-kliniken marienhospital osnabrück,bischofsstraße 1,49074,osnabrück
drk kliniken berlin köpenick,salvador-allende-straße 2 - 8,12559,berlin
berufsgenossenschaftliches universitätsklinikum bergmannsheil ggmbh,bürkle-de-la-camp-platz 1,44789,bochum
skh,dr.-max-krell-park 41,02708,großschweidnitz
drk kliniken berlin westend,spandauer damm 130,14050,berlin
klinikum christophsbad göppingen,faurndauer straße 6-28,73035,göppingen
gemeinschaftsklinikum mittelrhein ggmbh / kemperhof,koblenzer straße 115-155,56073,koblenz
klinikum landshut ggmbh,robert-koch-straße 1,84034,landshut
krankenhaus bethanien für die grafschaft moers,bethanienstr. 21,47441,moers
srh zentralklinikum suhl gmbh,albert-schweitzer-straße 2,98527,suhl
asklepios westklinikum hamburg gmbh,suurheid 20,22559,hamburg
klinikum links der weser,senator-weßling-str. 1,28277,bremen
karl-jaspers-klinik,hermann-ehlers-straße 7,26160,bad
evangelisches krankenhaus düsseldorf,kirchfeldstr. 40,40217,düsseldorf
klinikum südstadt rostock,südring 81,18059,rostock
elisabeth-krankenhaus essen,klara-kopp-weg 1,45138,essen
gpr klinikum,august-bebel-straße 59,65428,rüsselsheim
städtisches klinikum lüneburg gemeinnützige gmbh,bögelstraße 1,21339,lüneburg
st. josefs-hospital wiesbaden gmbh,beethovenstr. 20,65189,wiesbaden
st. bernward krankenhaus,treibestr. 9,31134,hildesheim
helios klinikum emil von behring gmbh,walterhöferstraße  11,14165,berlin
bundeswehrzentralkrankenhaus koblenz,rübenacher straße 170,56072,koblenz
st.joseph krankenhaus,wüsthoffstraße 15,12101,berlin
kbo-inn-salzach-klinikum wasserburg,gabersee 7,83512,wasserburg
evangelisches waldkrankenhaus spandau,stadtrandstraße 555,13589,berlin
krankenhaus nordwest,steinbacher hohl 2-26,60488,frankfurt
krankenhaus martha-maria halle-dölau,röntgenstraße 1,06120,halle
klinikum kulmbach,albert-schweitzer-straße 10,95326,kulmbach
"klinikum barnim gmbh, werner forßmann krankenhaus",rudolf-breitscheid-straße 100,16225,eberswalde
memmingen,bismarckstraße 23,87700,memmingen
helios klinikum pforzheim gmbh,kanzlerstraße 2-6,75175,pforzheim
klinikum neumarkt,nürnberger straße 12,92318,neumarkt
siloah st. trudpert klinikum,wilferdinger straße 67,75179,pforzheim
bundeswehrkrankenhaus ulm,oberer eselsberg 40,89081,ulm
asklepios fachklinikum göttingen,rosdorfer weg 70,37081,göttingen
diakonie-klinikum schwäbisch hall ggmbh,diakoniestraße 10,74523,schwäbisch
herz- und diabeteszentrum nrw,georgstrasse  11,32545,bad
zentrum für psychiatrie emmendingen,neubronnstr. 25,79312,emmendingen
klinikum am europakanal,am europakanal 71,91056,erlangen
klinikum rheine / mathias-spital rheine,frankenburgstrasse 31,48431,rheine
medius klinik kirchheim,eugenstr. 3,73230,kirchheim
gemeinschaftskrankenhaus herdecke ggmbh,gerhard-kienle-weg 4,58313,herdecke
krh psychiatrie wunstorf,südstraße  25,31515,wunstorf
zentrum für psychiatrie calw – klinikum nordschwarzwald,im lützenhardter hof 1,75365,calw-hirsau
helios kliniken schwerin - psychiatrie,wismarsche straße 393-397,19049,schwerin
st. marien- und st. annastiftskrankenhaus,salzburger straße 15,67067,ludwigshafen
diakonissen-stiftungs-krankenhaus speyer,paul-egell-straße 33,67346,speyer
brüderhaus koblenz &amp; marienhof koblenz,kardinal-krementz-straße 1-5,56073,koblenz
"klinikum vest gmbh, knappschaftskrankenhaus recklinghausen",dorstener straße 151,45657,recklinghausen
diakonie klinikum ev. jung-stilling-krankenhaus,wichernstraße 40,57074,siegen
krankenhaus gelnhausen,herzbachweg 14,63571,gelnhausen
klinikum kempten,robert-weixler-straße 50,87439,kempten
donauisar klinikum deggendorf,perlasberger str. 41,94469,deggendorf
"krankenhaus lübbecke-rahden, betriebsstelle lübbecke",virchowstraße 65,32312,lübbecke
universitätsklinikum knappschaftskrankenhaus bochum,in der schornau 23-25,44892,bochum
katholisches klinikum essen - betriebsteil philippusstift,hülsmannstraße 17,45355,essen
st. vinzenz-hospital,dr.-otto-seidel-straße 31-33,46535,dinslaken
oberhavel kliniken gmbh / klinik hennigsdorf,marwitzer straße 91,16761,hennigsdorf
ameos klinikum hildesheim,goslarsche landstraße 60,31135,hildesheim
hochtaunus-kliniken ggmbh - bad homburg,zeppelinstraße 20,61352,bad
marienhaus klinikum st. elisabeth saarlouis,kapuziner straße 4,66740,saarlouis
helios klinikum niederberg,robert-koch-straße 2,42549,velbert
diakovere henriettenstift,marienstraße 72-90,30171,hannover
srh klinikum klinikum naumburg,humboldtdtraße 31,06618,naumburg
ortenau klinikum offenburg-kehl betriebsstelle ebertplatz,ebertplatz 12,77654,offenburg
helios hanseklinikum stralsund,große parower straße 47-53,18435,stralsund
vinzenz von paul hospital ggmbh,schwenninger straße 55,78628,rottweil
lvr-klinik viersen,johannisstraße 70,41749,viersen
caritasklinikum saarbrücken standort st. theresia,rheinstraße 2,66113,saarbrücken
sana klinikum hof,eppenreuther str. 9,95032,hof
klinikum bremen-nord,hammersbecker straße 228,28755,bremen
lvr-klinik langenfeld,kölner str. 82,40764,langenfeld
prosper-hospital ggmbh,mühlenstraße 27,45659,recklinghausen
marien hospital düsseldorf gmbh,rochusstr. 2,40479,düsseldorf
st. georg klinikum eisenach gemeinnützige gmbh,mühlhäuser straße 94-95,99817,eisenach
asklepios klinikum uckermark gmbh,am klinikum 1,16303,schwedt
klinikum st. elisabeth straubing gmbh,st.-elisabeth-str. 23,94315,straubing
krankenhaus st. joseph-stift bremen gmbh,schwachhauser heerstraße 54,28209,bremen
evangelisches krankenhaus oberhausen gmbh,virchowstraße 20,46047,oberhausen
agaplesion elisabethenstift evangelisches krankenhaus,landgraf-georg-straße 100,64287,darmstadt
st. josef krankenhaus gmbh moers - betriebsstätte st. josef krankenhaus moers,asberger str. 4,47441,moers
"knappschaftskrankenhaus dortmund, klinikum westfalen gmbh",am knappschaftskrankenhaus 1,44309,dortmund
herzzentrum leipzig gmbh,strümpellstraße 39,04289,leipzig
kmg klinikum güstrow,friedrich-trendelenburg-allee 1,18273,güstrow
agaplesion allgemeines krankenhaus hagen gem. gmbh,grünstr. 35,58095,hagen
krankenhaus düren gem. gmbh,roonstraße 30,52351,düren
hegau-bodensee-klinikum singen,virchowstr. 10,78224,singen
augusta-kranken-anstalt ggmbh bochum,bergstraße 26,44791,bochum
regio kliniken gmbh - klinikum elmshorn,agnes-karll-allee 17,25337,elmshorn
christliches krankenhaus quakenbrück gmbh,danziger straße 2,49610,quakenbrück
marien-hospital,gottfried-disse-straße 40,53879,euskirchen
vivantes wenckebach-klinikum,wenckebachstraße 23,12099,berlin
rheinhessen-fachklinik alzey,dautenheimer landstraße 66,55232,alzey
klinikum westmünsterland st. agnes-hospital bocholt,barloer weg 125,46397,bocholt
helios klinikum meiningen,bergstraße 3,98617,meiningen
helios amper-klinikum dachau,krankenhausstraße 15,85221,dachau
lausitzer seenland klinikum gmbh,maria-grollmuß-straße 10,02977,hoyerswerda
rhein-mosel-fachklinik,vulkanstraße 58,56626,andernach
lwl-klinikum gütersloh,buxelstraße 50,33334,gütersloh
"kem | evang. kliniken essen-mitte, evang. huyssens-stiftung essen-huttrop",henricistraße 92,45136,essen
städtisches klinikum brandenburg gmbh,hochstraße 29,14770,brandenburg
agaplesion ev. klinikum schaumburg,zum schaumburger klinikum 1,31683,obernkirchen
bezirksklinikum ansbach,feuchtwanger straße 38,91522,ansbach
klinikum lippe lemgo,rintelner straße 85,32657,lemgo
evangelische kliniken gelsenkirchen gmbh,munckelstr. 27,45879,gelsenkirchen
caritas-krankenhaus bad mergentheim,uhlandstraße 7,97980,bad
vivantes klinikum kaulsdorf,myslowitzer straße 45,12621,berlin
asklepios klinik langen,röntgenstrasse 20,63225,langen
evangelisches krankenhaus göttingen-weende ggmbh,an der lutter 24,37075,göttingen
marien-hospital wesel ggmbh,pastor-janßen-straße 8-38,46483,wesel
marienhaus klinikum st. elisabeth neuwied,friedrich-ebert-straße 59,56564,neuwied
st.-katharinen-hospital gmbh,kapellenstr. 1-5,50226,frechen
st. marien-krankenhaus siegen,kampenstraße 51,57072,siegen
diakovere friederikenstift,humboldtstraße 5,30169,hannover
klinikum werra meißner gmbh / standort eschwege,elsa-brändström-straße 1,37269,eschwege
krankenhaus hedwigshöhe,höhensteig 1,12526,berlin
klinikum werra meißner gmbh / standort witzenhausen,steinstraße 18-24,37213,witzenhausen
ev. krankenhaus hamm,werler str. 110,59063,hamm
klinikum bad salzungen gmbh,lindigallee 3,36433,bad
sana kliniken leipziger land gmbh - klinikum borna,rudolf-virchow-straße 2,04552,borna
"bezirkskliniken schwaben, bezirkskrankenhaus günzburg",ludwig-heilmeyer-straße 2,89312,günzburg
sana hanse-klinikum wismar gmbh,störtebekerstraße 6,23966,wismar
srh klinikum karlsbad-langensteinbach gmbh,guttmannstraße 1,76307,karlsbad
krankenhaus ludmillenstift,ludmillenstraße 4-6,49716,meppen
krankenhaus porz am rhein ggmbh,urbacher weg 19,51149,köln
ameos klinikum osnabrück,knollstraße 31,49088,osnabrück
"katholisches krankenhaus ""st. johann nepomuk"" erfurt",haarbergstraße 72,99097,erfurt
klinikum altenburger land gmbh,am waldessaum 10,04600,altenburg
krankenhaus mechernich,st. elisabethstr. 2-6,53894,mechernich
carl-von-basedow-klinikum saalekreis ggmbh,weiße mauer  52,06217,merseburg
asklepios fachklinikum stadtroda,bahnhofstr. 1a,07646,stadtroda
klinikum garmisch-partenkirchen - haupthaus,auenstraße 6,82467,garmisch-partenkirchen
oberlausitz-kliniken ggmbh / krankenhaus bautzen,am stadtwall 3,02625,bautzen
johanna-etienne-krankenhaus,am hasenberg 46,41462,neuss
immanuel klinik rüdersdorf,seebad 82/83,15562,rüdersdorf
bethesda krankenhaus,heerstraße 219,47053,duisburg
helios klinikum münchen west,steinerweg 5,81241,münchen
ortenau klinikum lahr-ettenheim standort lahr,klostenstrasse 19,77933,lahr
klinikum gütersloh,reckenberger str. 19,33332,gütersloh
psychiatrische klinik lüneburg gemeinnützige gmbh,am wienebütteler weg 1,21339,lüneburg
hermann-josef-krankenhaus,tenholter str. 43,41812,erkelenz
evangelisches krankenhaus bergisch gladbach ggmbh,ferrenbergstrasse 24,51465,bergisch
st. hedwig-krankenhaus berlin,große hamburger straße 5-11,10115,berlin
krh klinikum nordstadt,haltenhoffstraße 41,30167,hannover
kliniken der stadt köln ggmbh - krankenhaus holweide,neufelder straße 32,51067,köln
kreiskliniken altötting-burghausen standort altötting,vinzenz-von-paul-str. 10,84503,altötting
diakonissenkrankenhaus mannheim,speyerer straße 91-93,68163,mannheim
gesundheitszentrum bitterfeld/wolfen ggmbh,friedrich-ludwig-jahn-str- 2,06749,bitterfeld-wolfen
barmherzige brüder krankenhaus münchen,romanstraße 93,80639,münchen
krankenhaus bietigheim,riedstr. 12,74321,bietigheim-bissingen
gesundheitseinrichtungen hameln-pyrmont gmbh - sana klinikum hameln-pyrmont,saint-maur-platz 1,31785,hameln
evangelisches krankenhaus oldenburg,steinweg 13 - 17,26122,oldenburg
bonifatius hospital lingen,wilhelmstraße 13,49808,lingen
stauferklinikum schwäbisch-gmünd,wetzgauer str. 85,73557,mutlangen
diako ev. diakonie-krankenhaus gemeinnützige gmbh,gröpelinger heerstr.  406,28239,bremen
helios klinikum schwelm,dr.-moeller-straße 15,58332,schwelm
gemeinschaftsklinikum mittelrhein ggmbh / ev. stift. st. martin,johannes-müller-straße 7,56068,koblenz
diakonie-klinikum stuttgart,rosenbergstraße 38,70176,stuttgart
diakonissenkrankenhaus flensburg,knuthstr. 1,24939,flensburg
"knappschaftsklinikum saar gmbh, krankenhaus püttlingen",in der humes 35,66346,püttlingen
"sana kliniken lübeck gmbh, krankenhaus süd",kronsforder allee 71-73,23560,lübeck
städtisches krankenhaus pirmasens ggmbh,pettenkoferstraße 22,66955,pirmasens
"kliniken ostalb, ostalb-klinikum aalen",im kälblesrain 1,73430,aalen
brüderkrankenhaus st. josef paderborn,husener str. 46,33098,paderborn
kjf klinik josefinum ggmbh,kapellenstraße 30,86154,augsburg
"pius-hospital oldenburg, medizinischer campus universität oldenburg",georgstraße 12,26121,oldenburg
johanniter gmbh - zweigniederlassung stendal - johanniter krankenhaus genthin stendal,wendstraße  31,39576,stendal
